idx,x,type,high,open,close,low
498,990,bear,627.88,627.88,609.56,609.56
499,994,bear,1232.57,1232.57,1148.28,1148.28
500,995,bear,627.88,627.88,609.56,609.56
501,996,bull,1179.43,1153.78,1179.43,1153.78
502,1000,bull,1179.43,1153.78,1179.43,1153.78
503,1002,bear,1175.77,1175.77,1168.44,1168.44
504,1005,bear,618.72,618.72,613.23,613.23
505,1006,bear,1175.77,1175.77,1168.44,1168.44
506,1008,bull,1122.63,1082.32,1122.63,1082.32
507,1010,bear,618.72,618.72,613.23,613.23
508,1012,bull,1122.63,1082.32,1122.63,1082.32
509,1013,bull,692.02,633.38,692.02,633.38
510,1014,bull,1197.76,1131.79,1197.76,1131.79
511,1018,bull,692.02,633.38,692.02,633.38
512,1020,bull,768.98,736.00,768.98,736.00
513,1024,bull,1216.08,1205.09,1216.08,1205.09
514,1025,bull,768.98,736.00,768.98,736.00
515,1026,bull,1265.56,1247.23,1265.56,1247.23
516,1028,bull,816.62,792.80,816.62,792.80
517,1030,bull,1265.56,1247.23,1265.56,1247.23
518,1032,bear,1269.22,1269.22,1256.40,1256.40
519,1033,bull,816.62,792.80,816.62,792.80
520,1035,bear,825.78,825.78,770.81,770.81
521,1036,bear,1269.22,1269.22,1256.40,1256.40
522,1038,bull,1225.24,1214.25,1225.24,1214.25
523,1040,bear,825.78,825.78,770.81,770.81
524,1042,bull,1225.24,1214.25,1225.24,1214.25
525,1044,bear,1206.92,1206.92,1197.76,1197.76
526,1048,bear,1206.92,1206.92,1197.76,1197.76
527,1050,bull,1249.07,1186.76,1249.07,1186.76
528,1054,bull,1249.07,1186.76,1249.07,1186.76
529,1058,bull,800.13,765.31,800.13,765.31
530,1062,bear,1239.90,1239.90,1183.10,1183.10
531,1063,bull,800.13,765.31,800.13,765.31
532,1065,bull,866.10,801.96,866.10,801.96
533,1066,bear,1239.90,1239.90,1183.10,1183.10
534,1068,bull,1203.26,1183.10,1203.26,1183.10
535,1070,bull,866.10,801.96,866.10,801.96
536,1072,bull,1203.26,1183.10,1203.26,1183.10
537,1073,bear,882.59,882.59,869.76,869.76
538,1074,bull,1221.58,1212.42,1221.58,1212.42
539,1078,bear,882.59,882.59,869.76,869.76
540,1080,bull,900.91,889.92,900.91,889.92
541,1084,bull,1199.59,1194.09,1199.59,1194.09
542,1085,bull,900.91,889.92,900.91,889.92
543,1086,bull,1239.90,1205.09,1239.90,1205.09
544,1088,bull,939.39,902.74,939.39,902.74
545,1090,bull,1239.90,1205.09,1239.90,1205.09
546,1092,bull,1331.52,1239.90,1331.52,1239.90
547,1093,bull,939.39,902.74,939.39,902.74
548,1095,bear,913.74,913.74,886.25,886.25
549,1096,bull,1331.52,1239.90,1331.52,1239.90
550,1098,bear,1349.85,1349.85,1249.07,1249.07
551,1100,bear,913.74,913.74,886.25,886.25
552,1102,bear,1349.85,1349.85,1249.07,1249.07
553,1103,bear,862.43,862.43,820.29,820.29
554,1104,bull,1133.62,1016.35,1133.62,1016.35
555,1108,bear,862.43,862.43,820.29,820.29
556,1110,bear,818.45,818.45,774.48,774.48
557,1114,bear,1063.99,1063.99,952.22,952.22
558,1115,bear,818.45,818.45,774.48,774.48
559,1116,bull,988.87,970.54,988.87,970.54
560,1118,bear,756.15,756.15,712.17,712.17
561,1120,bull,988.87,970.54,988.87,970.54
562,1122,bear,977.87,977.87,948.55,948.55
563,1123,bear,756.15,756.15,712.17,712.17
564,1125,bear,695.68,695.68,670.03,670.03
565,1126,bear,977.87,977.87,948.55,948.55
566,1128,bear,864.26,864.26,772.64,772.64
567,1130,bear,695.68,695.68,670.03,670.03
568,1132,bear,864.26,864.26,772.64,772.64
569,1133,bear,670.03,670.03,660.87,660.87
570,1134,bull,893.58,827.62,893.58,827.62
571,1138,bear,670.03,670.03,660.87,660.87
572,1140,bull,659.03,651.71,659.03,651.71
573,1144,bear,889.92,889.92,803.79,803.79
574,1145,bull,659.03,651.71,659.03,651.71
575,1146,bear,774.48,774.48,701.18,701.18
576,1148,bull,703.01,659.03,703.01,659.03
577,1150,bear,774.48,774.48,701.18,701.18
578,1152,bear,684.69,684.69,604.06,604.06
579,1153,bull,703.01,659.03,703.01,659.03
580,1155,bear,703.01,703.01,593.07,593.07
581,1156,bear,684.69,684.69,604.06,604.06
582,1158,bull,604.06,593.07,604.06,593.07
583,1160,bear,703.01,703.01,593.07,593.07
584,1162,bull,604.06,593.07,604.06,593.07
585,1163,bear,600.40,600.40,519.77,519.77
