date,open,high,low,close,type
2025-12-15,25930.05,26047.15,25726.3,25966.4,bull
2025-12-22,26055.85,26236.4,26008.6,26042.3,bear
2025-12-29,26063.35,26340.0,25878.0,26328.55,bull
2026-01-05,26333.7,26373.2,25623.0,25683.3,bear
2026-01-12,25669.05,25899.8,25473.4,25694.35,bull
2026-01-27,25063.35,25458.15,24571.75,24825.45,bear
2026-02-02,24796.5,26341.2,24679.4,25693.7,bull
2026-02-09,25888.7,26009.4,25444.3,25471.1,bear
2026-02-16,25423.6,25885.3,25372.7,25571.25,bull
2026-02-23,25678.4,25771.45,25141.3,25178.65,bear
2026-03-02,24659.25,24989.35,24305.4,24450.45,bear
2026-03-09,23868.05,24303.8,23112.0,23151.1,bear
2026-03-16,23116.1,23862.25,22930.35,23114.5,bear
2026-03-23,22824.35,23465.35,22471.25,22819.6,bear
2026-04-06,22780.3,24074.05,22542.95,24050.6,bull
2026-04-13,23589.6,24400.95,23555.6,24353.55,bull
2026-04-20,24391.5,24601.7,23813.65,23897.95,bear
2026-04-27,23945.45,24334.7,23796.85,23997.55,bull
