date,idx,x,type,high,open,close,low
2026-02-24,351,1330,bear,1425.49,1425.49,1376.79,1376.79
2026-03-03,352,1333,bear,674.77,674.77,626.08,626.08
2026-03-03,353,1336,bear,1393.02,1393.02,1356.50,1356.50
2026-03-10,354,1340,bear,751.87,751.87,703.18,703.18
2026-03-10,355,1342,bear,1409.25,1409.25,1364.62,1364.62
2026-03-17,356,1348,bear,729.55,729.55,589.55,589.55
2026-03-24,357,1354,bull,1468.09,1433.60,1468.09,1433.60
2026-03-31,358,1355,bull,650.42,622.02,650.42,622.02
2026-03-31,359,1360,bull,1555.34,1464.04,1555.34,1464.04
2026-04-07,360,1363,bull,684.92,644.34,684.92,644.34
2026-04-07,361,1366,bull,1563.46,1559.40,1563.46,1559.40
2026-04-14,362,1370,bear,688.97,688.97,601.73,601.73
2026-04-21,363,1372,bull,1644.61,1520.85,1644.61,1520.85
2026-04-28,364,1378,bull,650.42,611.87,650.42,611.87
2026-05-05,365,1384,bull,1827.22,1754.18,1827.22,1754.18
2026-05-05,366,1385,bear,658.54,658.54,654.48,654.48
2026-05-12,367,1390,bull,1764.32,1642.58,1764.32,1642.58
2026-05-12,368,1393,bull,792.45,664.63,792.45,664.63
2026-05-19,369,1396,bull,1827.22,1754.18,1827.22,1754.18
2026-05-19,370,1400,bear,782.31,782.31,768.10,768.10
2026-06-02,371,1408,bull,766.07,753.90,766.07,753.90
2026-06-09,372,1415,bull,796.51,778.25,796.51,778.25
2026-06-16,373,1423,bear,798.54,798.54,668.68,668.68
2026-06-30,374,1430,bull,971.00,693.03,971.00,693.03
2026-07-01,375,1438,bull,940.56,956.80,995.35,926.36
2026-07-01,376,1445,bear,940.56,997.38,954.77,926.36
2026-07-01,377,1453,bull,1003.46,940.56,1003.46,940.56
2026-07-01,378,1460,bull,1088.68,971.00,1088.68,971.00
2026-07-01,379,1468,bear,1082.59,1082.59,1025.78,1025.78
2026-07-01,380,1475,bull,1153.61,1060.27,1153.61,1060.27
2026-07-01,381,1483,bull,1265.20,1186.07,1265.20,1186.07
2026-07-01,382,1490,bull,1293.60,1257.08,1293.60,1257.08
2026-07-01,383,1498,bear,1293.60,1293.60,1153.61,1153.61
2026-07-01,384,1505,bull,1230.71,1198.24,1230.71,1198.24
